rule_label,description,set,option,item_text,is_correct
R#2a — Syllabic nasals after obstruent (word-final),"Nasals /m, n/ are syllabic at the end of a word when immediately after an obstruent.",5,6,cumin,0
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",1,1,little,1
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",1,2,bottle,1
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",1,3,razor,1
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",1,4,real,0
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",1,5,allow,0
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",1,6,lily,0
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",2,1,whistle,1
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",2,2,paddle,1
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",2,3,hammer,1
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",2,4,yellow,0
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",2,5,early,0
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",2,6,ruler,0
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",3,1,kennel,1
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",3,2,channel,1
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",3,3,tailor,1
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",3,4,royal,0
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",3,5,alloy,0
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",3,6,oral,0
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",4,1,barrel,1
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",4,2,snarl,1
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",4,3,solder,0
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",4,4,solar,0
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",4,5,rely,0
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",4,6,relay,0
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",5,1,little,1
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",5,2,bottle,1
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",5,3,tailor,1
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",5,4,lunar,0
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",5,5,rural,0
"R#2b — Syllabic liquids /l, r/ after consonant (word-final)","Liquids /l, r/ are syllabic at the end of a word when immediately after a consonant.",5,6,real,0
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,1,1,feel,1
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,1,2,milk,1
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,1,3,silk,1
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,1,4,leaf,0
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,1,5,lady,0
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,1,6,lily,0
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,2,1,full,1
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,2,2,cold,1
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,2,3,bold,1
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,2,4,light,0
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,2,5,allow,0
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,2,6,loyal,0
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,3,1,pearl,1
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,3,2,paddle,1
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,3,3,whistle,1
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,3,4,leafy,0
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,3,5,alone,0
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,3,6,lunar,0
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,4,1,meal,1
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,4,2,cool,1
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,4,3,coal,1
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,4,4,lean,0
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,4,5,laser,0
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,4,6,level,0
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,5,1,real,1
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,5,2,dull,1
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,5,3,pale,1
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,5,4,lute,0
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,5,5,leaf,0
R#3 — Velarized (dark) /l/ in coda or syllabic /l/,The lateral /l/ is velarized after a vowel or before a consonant at the end of a word (coda) or when /l/ is syllabic.,5,6,lilt,0
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",1,1,butter,1
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",1,2,city,1
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",1,3,water,1
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",1,4,attack,0
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",1,5,detail,0
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",1,6,hotel,0
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",2,1,rider,1
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",2,2,writer,1
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",2,3,witty,1
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",2,4,retire,0
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",2,5,Italian,0
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",2,6,routine,0
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",3,1,cater,1
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",3,2,data,1
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",3,3,ladder,1
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",3,4,rotate,0
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",3,5,edit,0
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",3,6,attain,0
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",4,1,credit,1
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",4,2,editor,1
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",4,3,petal,1
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",4,4,today,0
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",4,5,canoe,0
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",4,6,detail,0
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",5,1,beauty,1
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",5,2,duty,1
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",5,3,petite,1
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",5,4,attack,0
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",5,5,retake,0
R#4 — Alveolar stop → tap between vowels (2nd unstressed),"Alveolar stops /t, d/ become a voiced tap between vowels when the second vowel is unstressed.",5,6,debate,0
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,1,1,apt,1
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,1,2,act,1
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,1,3,packed,1
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,1,4,cap,0
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,1,5,bag,0
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,1,6,tap,0
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,2,1,kept,1
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,2,2,fact,1
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,2,3,doctor,1
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,2,4,back,0
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,2,5,tack,0
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,2,6,cave,0
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,3,1,script,1
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,3,2,abduct,1
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,3,3,uptake,1
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,3,4,cab,0
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,3,5,sad,0
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,3,6,buy,0
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,4,1,hotdog,1
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,4,2,subpar,1
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,4,3,laptop,1
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,4,4,topic,0
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,4,5,rapid,0
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,4,6,paper,0
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,5,1,kept quiet,1
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,5,2,act fast,1
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,5,3,apt choice,1
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,5,4,cap it,0
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,5,5,bag it,0
R#5 — Unreleased stop before another stop,Consecutive stops overlap; a stop is often unreleased when it occurs immediately before another stop.,5,6,pop it,0
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",1,1,cat,1
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",1,2,tip,1
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",1,3,back,1
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",1,4,cab,0
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",1,5,bad,0
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",1,6,bag,0
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",2,1,kick,1
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",2,2,hat,1
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",2,3,pack,1
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",2,4,had,0
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",2,5,rag,0
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",2,6,jog,0
